SI No,District code,District name,Mandal code,Mandal Name,Village Name,School Id,School Name,Area,School Category,School Managments,School Type,Lower Class,Higer Class,Medium1,Medium2,Medium3,Medium4
31,2822,ANANTAPUR,282244,KADIRI,KADIRI(MPL),28224490703,CHALAPATHI UP SCHOOL,Urban,Primary with Upper Primary,Pvt.Unaided,Co-education,1,7,English,Telugu,Urdu,None
32,2822,ANANTAPUR,282218,RAYADURG,RAYADURG,28221890965,JAMIYA MOHAMMADIYA,Urban,Primary with Upper Primary,Madarsa unrecognized,Boys,1,7,Urdu,None,None,None
33,2822,ANANTAPUR,282257,HINDUPUR,MALUGURU,28225700208,APSWRS(BOYS) MALUGUR,Rural,Pr. with Up.Pr. sec. and H.Sec.,APSWREI Society Schools,Boys,1,12,English,None,None,None
34,2822,ANANTAPUR,282258,PARIGI,KODIGENAHALLI,28225801413,APRS K KODIGENAHALLI,Rural,Pr. Up Pr. and Secondary Only,APREI Society Schools,Boys,5,10,Telugu,English,None,None
35,2822,ANANTAPUR,282215,URAVAKONDA,CHINNAMUSTUR,28221501113,ALJAMIA TULISLAMIA NOOR- UL-HDA,Rural,Primary,Madarsa unrecognized,Boys,1,5,Urdu,None,None,None
36,2822,ANANTAPUR,282206,GOOTY,PEDDODDI,28220601103,APTWR HS SEVAGAD,Rural,Pr. Up Pr. and Secondary Only,APTWREI Society Schools,Boys,5,10,English,None,None,None
37,2822,ANANTAPUR,282225,ANANTAPUR,ANANTAPUR(M)-3,28222591338,APREIS(MINORITY) 3RD ROAD,Urban,Pr. Up Pr. and Secondary Only,APREI Society Schools,Boys,1,10,English,None,None,None
38,2822,ANANTAPUR,282244,KADIRI,KADIRI(MPL),28224490734,MADARASA E DARUL ULOOM ZAKARIA(BOYS)KADIRI,Urban,Primary with Upper Primary,Madarsa unrecognized,Boys,1,7,Urdu,None,None,None
39,2822,ANANTAPUR,282244,KADIRI,KADIRI(MPL),28224490737,ANDHRA PRADESH TRIBAL WELFARE RESIDENTIAL SCHOOL(BOYS),Urban,Pr. Up Pr. and Secondary Only,APTWREI Society Schools,Boys,1,10,English,Telugu,None,None
40,2822,ANANTAPUR,282217,KANEKAL,KANEKAL,28221701020,APSWRS RAMNAGAR,Rural,Pr. with Up.Pr. sec. and H.Sec.,APSWREI Society Schools,Boys,5,10,English,None,None,None
41,2822,ANANTAPUR,282225,ANANTAPUR,KAKKALAPALLE (RURAL),28222501227,DARUL ULOOM ARABIA,Urban,Primary with Upper Primary,Madarsa unrecognized,Boys,1,7,Urdu,None,None,None
42,2822,ANANTAPUR,282256,LEPAKSHI,LEPAKSHI,28225600316,MJPAPBCWRS LEPAKSHI,Rural,Pr. Up Pr. and Secondary Only,APREI Society Schools,Boys,5,10,English,None,None,None
43,2822,ANANTAPUR,282215,URAVAKONDA,URVAKONDA,28221591134,APREIS(BC-B) URAVAKONDA,Rural,Pr. Up Pr. and Secondary Only,APREI Society Schools,Boys,5,10,English,None,None,None
44,2822,ANANTAPUR,282215,URAVAKONDA,URVAKONDA,28221591140,MADARASA,Rural,Primary with Upper Primary,Madarsa unrecognized,Boys,1,8,Urdu,None,None,None
45,2822,ANANTAPUR,282225,ANANTAPUR,ANANTAPUR(M)-4,28222591569,MADARASA -E-FAIZUL ULOOM,Urban,Primary,Madarsa unrecognized,Boys,1,5,Urdu,None,None,None
46,2822,ANANTAPUR,282250,BUKKAPATNAM,BUKKAPATNAM,28225000712,ZPHS(BOYS) BUKKAPATNAM,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Boys,6,10,Telugu,English,None,None
47,2822,ANANTAPUR,282205,GUNTAKAL,GUNTAKAL (M) 2,28220590510,MADARASA - E- FAIZAN SULTAN,Rural,Primary with Upper Primary,Madarsa recognized (by Wakf board/Madarsa Board),Boys,1,8,Urdu,None,None,None
48,2822,ANANTAPUR,282223,KALYANDRUG,KALYANDURG,28222390734,ANDHRA PRADESH TRIBAL WELFARE RESIDENTIAL SCHOOL,Urban,Pr. Up Pr. and Secondary Only,APTWREI Society Schools,Boys,1,10,English,None,None,None
49,2822,ANANTAPUR,282227,NARPALA,B.PAPPURU,28222701104,APSWRS B.PAPPUR,Rural,Pr. Up Pr. and Secondary Only,APSWREI Society Schools,Boys,5,10,English,None,None,None
50,2822,ANANTAPUR,282234,KAMBADUR,NUTHIMADUGU,28223400405,APRS BOYS NUTHIMADUGU,Rural,Pr. Up Pr. and Secondary Only,APREI Society Schools,Boys,1,10,English,Hindi,None,None
51,2822,ANANTAPUR,282206,GOOTY,GOOTY,28220690310,MPPS DASARI COLONY,Urban,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,Hindi,English,None
52,2822,ANANTAPUR,282205,GUNTAKAL,GUNTAKAL (M),28220590472,DR.RADHAKRISHNAN MPLHS(B),Urban,Upper Pr. and Secondary,MUNCIPAL,Co-education,6,10,Telugu,Urdu,English,None
53,2822,ANANTAPUR,282216,BELUGUPPA,SREERANGAPURAM,28221600203,MPUPS NAKKALAPALLI,Rural,Primary with Upper Primary,MPP_ZPP SCHOOLS,Co-education,1,8,Telugu,Hindi,English,None
54,2822,ANANTAPUR,282244,KADIRI,KADIRI,28224490664,GOVT.HS KADIRI,Urban,Upper Pr. and Secondary,State Govt.,Co-education,6,10,Telugu,Urdu,English,None
55,2822,ANANTAPUR,282248,GORANTLA,PULERU,28224802106,MPPS PULERU,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,Hindi,English,None
56,2822,ANANTAPUR,282254,SOMANDEPALLE,NAGINAYANICHERUVU,28225400802,MPPS N N C THANDA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,Hindi,English,None
57,2822,ANANTAPUR,282215,URAVAKONDA,URVAKONDA,28221591123,SHANTHINIKETHAN PRIMARY SCHOOL,Rural,Primary,Pvt.Unaided,Co-education,1,5,English,Telugu,Hindi,None
58,2822,ANANTAPUR,282215,URAVAKONDA,URVAKONDA,28221591126,USHODAYA EM HIGH SCHOOL,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,Telugu,Hindi,None
59,2822,ANANTAPUR,282225,ANANTAPUR,ALAMURU,28222501005,ZPHS ALAMUR,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Co-education,6,10,Telugu,English,Hindi,None
60,2822,ANANTAPUR,282244,KADIRI,KADIRI,28224490601,DPEP MPL PS H W TANK,Urban,Primary,MUNCIPAL,Co-education,1,5,English,Telugu,Hindi,None
61,2822,ANANTAPUR,282244,KADIRI,KADIRI,28224490607,MPL PS SYADAPURAM,Urban,Primary,MUNCIPAL,Co-education,1,5,English,Telugu,Hindi,None
62,2822,ANANTAPUR,282244,KADIRI,KADIRI,28224490616,MPL PS URDU SHAHIPETA,Urban,Primary,MUNCIPAL,Co-education,1,5,Urdu,Telugu,Hindi,None
63,2822,ANANTAPUR,282244,KADIRI,KADIRI,28224490624,MPL PS WEEVERS COL,Urban,Primary,MUNCIPAL,Co-education,1,5,English,Telugu,Hindi,None
64,2822,ANANTAPUR,282244,KADIRI,KADIRI,28224490626,SRI SARADA VIDYA NIKETAN,Urban,Primary,Pvt.Unaided,Co-education,1,5,English,Telugu,Hindi,None
65,2822,ANANTAPUR,282244,KADIRI,KADIRI,28224490627,SRI SATYA SAI EM SCHOOL,Urban,Primary,Pvt.Unaided,Co-education,1,5,English,Telugu,Hindi,None
66,2822,ANANTAPUR,282244,KADIRI,KADIRI,28224490633,SRI SANTHI NIKETHAN E.M H,Urban,Primary,Pvt.Unaided,Co-education,1,5,English,Telugu,Hindi,None
67,2822,ANANTAPUR,282244,KADIRI,KADIRI,28224490635,SRI SAI BRAHMA PRIMARY SC,Urban,Primary,Pvt.Unaided,Co-education,1,5,English,Telugu,Hindi,None
68,2822,ANANTAPUR,282244,KADIRI,KADIRI,28224490638,MPL PS B.RAMANNAGARIPLLI,Urban,Primary,MUNCIPAL,Co-education,1,5,English,Telugu,Hindi,None
69,2822,ANANTAPUR,282244,KADIRI,KADIRI,28224490639,MPL PS KUMMAROLLAPALLI,Urban,Primary,MUNCIPAL,Co-education,1,5,English,Telugu,Hindi,None
70,2822,ANANTAPUR,282244,KADIRI,KADIRI,28224490640,MPL PS JADALAYYAMATAM,Urban,Primary,MUNCIPAL,Co-education,1,5,English,Telugu,Hindi,None
71,2822,ANANTAPUR,282244,KADIRI,KADIRI,28224490646,SRI VISWA BHARATHI U.P.SC,Urban,Primary,Pvt.Unaided,Co-education,1,5,Telugu,English,Hindi,None
72,2822,ANANTAPUR,282244,KADIRI,KADIRI,28224490651,MPL UPS NOOLUBANDA,Urban,Primary with Upper Primary,MUNCIPAL,Co-education,1,8,English,Telugu,Hindi,None
73,2822,ANANTAPUR,282244,KADIRI,KADIRI,28224490652,MPL UPS JOWKUPALEM,Urban,Primary,MUNCIPAL,Co-education,1,5,English,Telugu,Hindi,None
