SI No,District code,District name,Mandal code,Mandal Name,Village Name,School Id,School Name,Area,School Category,School Managments,School Type,Lower Class,Higer Class,Medium1,Medium2,Medium3,Medium4
572,2820,KADAPA,282006,MYDUKUR,SOMAYAJULAPALLE,28200601201,MPPS SOMAYAJULAPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
573,2820,KADAPA,282006,MYDUKUR,ANNALURU,28200601301,MPPS ERUVAJANGAMPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
574,2820,KADAPA,282006,MYDUKUR,ANNALURU,28200601302,MPPS ANNALURU,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
575,2820,KADAPA,282006,MYDUKUR,ANNALURU,28200601304,MPPSCHOWTIPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,Urdu,None,None
576,2820,KADAPA,282006,MYDUKUR,ANNALURU,28200601305,MPPS DAYAKHANPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
577,2820,KADAPA,282006,MYDUKUR,ANNALURU,28200601306,MPPS MUTHRAYAPALLI HW,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
578,2820,KADAPA,282006,MYDUKUR,ANNALURU,28200601307,MPPS MUTHARAYA PALLI(U),Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Urdu,None,None,None
579,2820,KADAPA,282007,B.MATTAM,DIGUVA NELATUR,28200701101,MPPS D.NELATUR,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
580,2820,KADAPA,282007,B.MATTAM,DIGUVA NELATUR,28200701103,RCMPS AIDED MALLEGUDIPADU,Rural,Primary,Pvt.Aided,Co-education,1,5,Telugu,None,None,None
581,2820,KADAPA,282007,B.MATTAM,DIRASAVANCHA,28200701803,MPPS RAJUPETA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
582,2820,KADAPA,282007,B.MATTAM,DIRASAVANCHA,28200701804,MPPS BODAPADU,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
583,2820,KADAPA,282007,B.MATTAM,DIRASAVANCHA,28200701805,MPPS DIRACHAVANCHA (HW),Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
584,2820,KADAPA,282007,B.MATTAM,DIRASAVANCHA,28200701806,MPUPS B.KAMMAVARI PALLE,Rural,Primary with Upper Primary,MPP_ZPP SCHOOLS,Co-education,1,7,Telugu,None,None,None
585,2820,KADAPA,282007,B.MATTAM,DIRASAVANCHA,28200701808,ZPHS PEDDIRAJU PALLE,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Co-education,6,10,Telugu,None,None,None
586,2820,KADAPA,282007,B.MATTAM,DIRASAVANCHA,28200701809,MPPS PEDDIRAJU PALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
587,2820,KADAPA,282008,B.KODUR,KAMAKUNTA,28200801901,MPPS PAYALAKUNTA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
588,2820,KADAPA,282008,B.KODUR,KAMAKUNTA,28200801902,MPPS RAMACHANDRAPURAM,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
589,2820,KADAPA,282008,B.KODUR,THIPPARAJUPALLE,28200802601,MPPS THIPPARAJUPALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
590,2820,KADAPA,282009,KALASAPADU,MUSALAREDDIPALLE,28200901501,MPPS MUSALREDDEPALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
591,2820,KADAPA,282003,PEDDAMUDIUM,MEDIDINNE,28200302201,MPPS MEDIDINNE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
592,2820,KADAPA,282003,PEDDAMUDIUM,ULAVAPALLI,28200302701,MPUPS ULAVAPALLI,Rural,Primary with Upper Primary,MPP_ZPP SCHOOLS,Co-education,1,8,Telugu,None,None,None
593,2820,KADAPA,282006,MYDUKUR,GANJIKUNTA,28200600606,MPPS LEKKALAVARIPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
594,2820,KADAPA,282006,MYDUKUR,GANJIKUNTA,28200600607,MPPS G SUGALI THANDA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
595,2820,KADAPA,282006,MYDUKUR,GANJIKUNTA,28200600608,ZPHS LEKKALAVARIPALLI,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Co-education,6,10,Telugu,English,None,None
596,2820,KADAPA,282006,MYDUKUR,GANJIKUNTA,28200600602,MPPS GANJIKUNTA HW,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
597,2820,KADAPA,282006,MYDUKUR,GANJIKUNTA,28200600603,MPPS USTCHALAVARAM,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
598,2820,KADAPA,282006,MYDUKUR,GANJIKUNTA,28200600604,MPPS BONACHERUVUPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
599,2820,KADAPA,282006,MYDUKUR,GANJIKUNTA,28200600605,MPPS NALLAPUREDDY PALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
600,2820,KADAPA,282006,MYDUKUR,S.MYDUKUR,28200601524,ZPHS MYDUKUR URDU,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Co-education,6,10,Urdu,None,None,None
601,2820,KADAPA,282006,MYDUKUR,S.MYDUKUR,28200601525,RCM HS JOSEPHPET,Rural,Upper Pr. and Secondary,Pvt.Aided,Co-education,6,10,Telugu,None,None,None
602,2820,KADAPA,282006,MYDUKUR,S.MYDUKUR,28200601527,SRI VEDA VYASA SH MYD,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,Telugu,English,None,None
603,2820,KADAPA,282006,MYDUKUR,S.MYDUKUR,28200601531,SIVA SURYA HS MYD,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,Telugu,English,None,None
604,2820,KADAPA,282006,MYDUKUR,S.MYDUKUR,28200601532,SANTHINIKETHAN HS MYD,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
605,2820,KADAPA,282006,MYDUKUR,S.MYDUKUR,28200601534,ST.AL PS MYD,Rural,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
606,2820,KADAPA,282006,MYDUKUR,S.MYDUKUR,28200601535,SRI VEDAVYASA PS MYD,Rural,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
607,2820,KADAPA,282006,MYDUKUR,S.MYDUKUR,28200601536,ST AL HS MYD,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
608,2820,KADAPA,282006,MYDUKUR,S.MYDUKUR,28200601537,MPPS MYDUKUR URDU,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Urdu,None,None,None
609,2820,KADAPA,282006,MYDUKUR,S.MYDUKUR,28200601539,SIVA CHAITANYA UPS GVS,Rural,Primary,Pvt.Unaided,Co-education,1,5,English,Telugu,None,None
610,2820,KADAPA,282006,MYDUKUR,S.MYDUKUR,28200601540,SV PS MYD,Rural,Primary,Pvt.Unaided,Co-education,1,5,Telugu,English,None,None
611,2820,KADAPA,282006,MYDUKUR,S.MYDUKUR,28200601542,S.T.JOSEPH HS MYD,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
612,2820,KADAPA,282009,KALASAPADU,PENDLIMARRI,28200902301,MPPS PENDLIMARRI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
613,2820,KADAPA,282009,KALASAPADU,PENDLIMARRI,28200902303,RCM PS CHENNAREDDY PALLI,Rural,Primary,Pvt.Aided,Co-education,1,5,Telugu,None,None,None
614,2820,KADAPA,282009,KALASAPADU,PENDLIMARRI,28200902304,RCM HS CHENNAREDDY PALLI,Rural,Upper Pr. and Secondary,Pvt.Aided,Co-education,6,10,Telugu,None,None,None
615,2820,KADAPA,282009,KALASAPADU,EGUVA RAMAPURAM,28200902701,KASINAYANA (EMTM) UP SCHOOL,Rural,Primary with Upper Primary,Pvt.Unaided,Co-education,1,7,Telugu,English,None,None
616,2820,KADAPA,282010,PORUMAMILLA,SANCHARALA,28201000101,MPPS RAMESWARAM,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
617,2820,KADAPA,282010,PORUMAMILLA,SANCHARALA,28201000102,MPPS BURUGAMANI PALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
618,2820,KADAPA,282010,PORUMAMILLA,SANCHARALA,28201000103,MPPS NAGALAKUNTLA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
619,2820,KADAPA,282010,PORUMAMILLA,SANCHARALA,28201000104,R C M PS NAGALAKUNTLA,Rural,Primary,Pvt.Aided,Co-education,1,5,Telugu,None,None,None
620,2820,KADAPA,282010,PORUMAMILLA,MARKAPURAM,28201001101,MPPS MARKAPURAM (MAIN),Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
621,2820,KADAPA,282010,PORUMAMILLA,MARKAPURAM,28201001102,MPPS DAMMANA PALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
622,2820,KADAPA,282011,BADVEL,ETHIRAJUPALLE,28201100401,MPPS ETHIRAJU PALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
623,2820,KADAPA,282011,BADVEL,ETHIRAJUPALLE,28201100402,MPPS GT PALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
624,2820,KADAPA,282011,BADVEL,GUNTHAPALLE,28201100601,MPPS GUNTHA PALLE,Urban,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
625,2820,KADAPA,282011,BADVEL,GUNTHAPALLE,28201100602,MPPS BANKA PALEM,Urban,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
626,2820,KADAPA,282011,BADVEL,GUNTHAPALLE,28201100603,MPPS RAGHUNANDA PURAM,Urban,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
627,2820,KADAPA,282011,BADVEL,GUNTHAPALLE,28201100604,MPPS CHINTHAPUTTAYA PALLE,Urban,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
628,2820,KADAPA,282011,BADVEL,GUNTHAPALLE,28201100605,MPPS GUNTHA PALLE(STC),Urban,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
629,2820,KADAPA,282011,BADVEL,GUNTHAPALLE,28201100606,MPPS KUMMARAKOTTALU,Urban,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
630,2820,KADAPA,282011,BADVEL,GUNTHAPALLE,28201100608,MPPS GUPTA NAGAR (HW),Urban,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
631,2820,KADAPA,282011,BADVEL,GUNTHAPALLE,28201100609,ARAVINDA PS BADVEL,Urban,Primary,Pvt.Unaided,Co-education,1,5,Telugu,None,None,None
632,2820,KADAPA,282011,BADVEL,GUNTHAPALLE,28201100610,MPPS SURENDRA NAGAR,Urban,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
633,2820,KADAPA,282006,MYDUKUR,SIVAPURAM,28200601412,SS HS SAINATHPURAM,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,Telugu,None,None
634,2820,KADAPA,282007,B.MATTAM,PULUGURALLAPALLE,28200700301,MPPS P.R.PALLE(M),Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
635,2820,KADAPA,282007,B.MATTAM,PULUGURALLAPALLE,28200700302,MPPS P.R PALLE(HW),Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
636,2820,KADAPA,282007,B.MATTAM,PULUGURALLAPALLE,28200700303,MPPS YERRAM PALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
637,2820,KADAPA,282007,B.MATTAM,PULUGURALLAPALLE,28200700305,MPPS BHAKARAPETA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
638,2820,KADAPA,282007,B.MATTAM,PULUGURALLAPALLE,28200700306,MPPS P.KOTHA PALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
639,2820,KADAPA,282007,B.MATTAM,PULUGURALLAPALLE,28200700307,MPPS ZOUKUPALLE MAIN,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
640,2820,KADAPA,282007,B.MATTAM,PULUGURALLAPALLE,28200700308,ZPHS PALUGURALLA PALLE,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Co-education,6,10,Telugu,None,None,None
641,2820,KADAPA,282007,B.MATTAM,T.SOUDARAVARIPALLE,28200700701,MPPS T.S. PALLE(M),Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
642,2820,KADAPA,282007,B.MATTAM,T.SOUDARAVARIPALLE,28200700702,MPPS T.S.PALLE(HW),Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
643,2820,KADAPA,282007,B.MATTAM,GUNDAPURAM,28200700902,MPPS DEVANAGARAM,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
644,2820,KADAPA,282007,B.MATTAM,EGUVANELATUR,28200701301,MPPS E.NELATUR,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
645,2820,KADAPA,282007,B.MATTAM,DARBHAVARIAGRAHARAM,28200701601,MPPS D.AGHRAHARAM,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
646,2820,KADAPA,282007,B.MATTAM,D.NARASIMHAPURAM,28200701901,MPPS G NARASIMHA PURAM,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
647,2820,KADAPA,282008,B.KODUR,KODURU,28200801101,MPPS AKKUPALEM,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
648,2820,KADAPA,282008,B.KODUR,KODURU,28200801102,MPPS ANAMVARIPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
649,2820,KADAPA,282008,B.KODUR,KODURU,28200801103,MPPS B KODURU,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
650,2820,KADAPA,282008,B.KODUR,KODURU,28200801104,MPPS GUNTHAPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
651,2820,KADAPA,282008,B.KODUR,KODURU,28200801105,MPPS NALLAVAGUPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
652,2820,KADAPA,282008,B.KODUR,KODURU,28200801106,MPPS RAMASAMUDRAM,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
653,2820,KADAPA,282008,B.KODUR,KODURU,28200801107,GOVT HS B KODURU,Rural,Upper Pr. and Secondary,State Govt.,Co-education,6,10,Telugu,None,None,None
654,2820,KADAPA,282010,PORUMAMILLA,CHERLOPALLE,28201000904,MPPS TEKURPETA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,English,None,None
655,2820,KADAPA,282010,PORUMAMILLA,CHERLOPALLE,28201000906,MPPS THIMMAREDDYPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
656,2820,KADAPA,282010,PORUMAMILLA,CHERLOPALLE,28201000907,MPPS THOKALA PALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
657,2820,KADAPA,282010,PORUMAMILLA,CHERLOPALLE,28201000909,MPPS RAJASAHEB PETA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
658,2820,KADAPA,282010,PORUMAMILLA,CHERLOPALLE,28201000912,MPPS PKPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
659,2820,KADAPA,282010,PORUMAMILLA,CHERLOPALLE,28201000913,MPPS KTV PURAM,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
660,2820,KADAPA,282010,PORUMAMILLA,CHERLOPALLE,28201000916,ZPHS TEKURPET,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Co-education,6,10,Telugu,English,None,None
661,2820,KADAPA,282010,PORUMAMILLA,CHERLOPALLE,28201000917,WISDOM EMHS,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
662,2820,KADAPA,282010,PORUMAMILLA,CHERLOPALLE,28201000918,SRI CHAITANYA EM UP SCHOOL,Rural,Primary with Upper Primary,Pvt.Unaided,Co-education,1,7,Telugu,English,None,None
663,2820,KADAPA,282010,PORUMAMILLA,RANGA SAMUDRAM,28201001301,MPPS RANGASAMUDRAM MAIN,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
664,2820,KADAPA,282010,PORUMAMILLA,RANGA SAMUDRAM,28201001302,MPPS RANGASAMUDRAM HW,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
665,2820,KADAPA,282010,PORUMAMILLA,RANGA SAMUDRAM,28201001303,MPPS GURAPPAGARI PALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
666,2820,KADAPA,282010,PORUMAMILLA,RANGA SAMUDRAM,28201001304,MPPS NARASINGUPALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
667,2820,KADAPA,282010,PORUMAMILLA,RANGA SAMUDRAM,28201001305,MPPS KAMMAVARIPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
668,2820,KADAPA,282010,PORUMAMILLA,RANGA SAMUDRAM,28201001306,MPPS GIRINAGAR,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
669,2820,KADAPA,282010,PORUMAMILLA,RANGA SAMUDRAM,28201001307,MPPS ADIANDHRA PALEM,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
670,2820,KADAPA,282010,PORUMAMILLA,RANGA SAMUDRAM,28201001308,MPPS GIRINAGAR STCOLONY,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
671,2820,KADAPA,282010,PORUMAMILLA,RANGA SAMUDRAM,28201001309,MPPS MAHABOOBNAGAR,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
672,2820,KADAPA,282010,PORUMAMILLA,RANGA SAMUDRAM,28201001310,MPPS RANGASAMUDRAM STC,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
673,2820,KADAPA,282010,PORUMAMILLA,RANGA SAMUDRAM,28201001311,MPPS MAHABOOBNAGAR URDU,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Urdu,None,None,None
674,2820,KADAPA,282010,PORUMAMILLA,RANGA SAMUDRAM,28201001312,RCM PS R SAMUDRAM,Rural,Primary,Pvt.Aided,Co-education,1,5,Telugu,None,None,None
675,2820,KADAPA,282012,GOPAVARAM,GOPAVARAM,28201200525,A.V.R HS NEAR MARKETYARD,Urban,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
676,2820,KADAPA,282012,GOPAVARAM,GOPAVARAM,28201200526,SVV PRIMARY SCHOOL,Rural,Primary,Pvt.Unaided,Co-education,1,5,Telugu,English,None,None
677,2820,KADAPA,282012,GOPAVARAM,GOPAVARAM,28201200527,SVV HIGH SCHOOL,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,Telugu,English,None,None
678,2820,KADAPA,282012,GOPAVARAM,GOPAVARAM,28201200528,SRI SRUJAN EM AND TM HIGH SCHOOL,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,Telugu,None,None
679,2820,KADAPA,282013,KHAJIPET,PULLUR,28201300301,MPPS PULURU KOTTALU,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
680,2820,KADAPA,282013,KHAJIPET,PULLUR,28201300302,MPPS PULLURU ST COLONY,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
681,2820,KADAPA,282013,KHAJIPET,PULLUR,28201300303,MPPS PULLURU A.A.,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
682,2820,KADAPA,282013,KHAJIPET,PULLUR,28201300304,MPPS PULLUR HW,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
683,2820,KADAPA,282013,KHAJIPET,PULLUR,28201300307,MPPS SARVARKHANPETA URDU,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Urdu,None,None,None
684,2820,KADAPA,282013,KHAJIPET,PULLUR,28201300308,MPPS POOSALA KOTTALU,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
685,2820,KADAPA,282013,KHAJIPET,PULLUR,28201300309,MPPS KOTHAPATHUR,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Urdu,None,None,None
686,2820,KADAPA,282013,KHAJIPET,PULLUR,28201300310,ZPHS SARVERKHANPETA,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Co-education,6,10,Urdu,English,None,None
687,2820,KADAPA,282013,KHAJIPET,NAGASANIPALLE,28201300401,MPPS NAGASANIPALLI(MAIN),Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
688,2820,KADAPA,282013,KHAJIPET,NAGASANIPALLE,28201300402,MPPS NAGASANI PALLE STC,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
689,2820,KADAPA,282013,KHAJIPET,THUDUMALADINNE,28201300801,MPPS THUDUMALADINNE HW,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
690,2820,KADAPA,282013,KHAJIPET,THUDUMALADINNE,28201300803,MPUPS THUDUMALE DINNE,Rural,Primary with Upper Primary,MPP_ZPP SCHOOLS,Co-education,1,7,Telugu,None,None,None
691,2820,KADAPA,282013,KHAJIPET,MIDUTHUR,28201300901,MPPS MIDUTHURU SPL,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
692,2820,KADAPA,282013,KHAJIPET,MIDUTHUR,28201300902,MPPS MIDUTHURU HW,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
693,2820,KADAPA,282013,KHAJIPET,MIDUTHUR,28201300907,MPPS MIDUTUR REGULAR,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
694,2820,KADAPA,282013,KHAJIPET,THRIPURAVARAM,28201301101,MPPS TRIPURAVARM AW,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
695,2820,KADAPA,282013,KHAJIPET,THRIPURAVARAM,28201301102,MPUPS TRIPURAVARAM,Rural,Primary with Upper Primary,MPP_ZPP SCHOOLS,Co-education,1,7,Telugu,None,None,None
696,2820,KADAPA,282010,PORUMAMILLA,RANGA SAMUDRAM,28201001315,SRI VAISHNAVI EM UP SCHOOL,Rural,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
697,2820,KADAPA,282010,PORUMAMILLA,RANGA SAMUDRAM,28201001317,VIYSHNAVI HGH SCHOOL,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
698,2820,KADAPA,282010,PORUMAMILLA,CHINNAYAPALLE,28201001801,MPPS CHINNAYAPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
699,2820,KADAPA,282010,PORUMAMILLA,VENKATARAMAPURAM,28201002702,MPUPS S.VENKATARAMAPURAM,Rural,Primary with Upper Primary,MPP_ZPP SCHOOLS,Co-education,1,7,Telugu,None,None,None
700,2820,KADAPA,282010,PORUMAMILLA,VENKATARAMAPURAM,28201002703,ZPHS VENKATA PURAM,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Co-education,6,10,Telugu,None,None,None
701,2820,KADAPA,282011,BADVEL,ANANTHARAJUPURAM,28201100201,MPPS GUNDAMRAJU PALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
702,2820,KADAPA,282011,BADVEL,ANANTHARAJUPURAM,28201100202,MPPS D.BOYANA PALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
703,2820,KADAPA,282011,BADVEL,ANANTHARAJUPURAM,28201100203,MPPS VIJAYARAMA PURAM,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
704,2820,KADAPA,282011,BADVEL,ANANTHARAJUPURAM,28201100204,MPPS AMBEDKARNAGAR,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
705,2820,KADAPA,282011,BADVEL,ANANTHARAJUPURAM,28201100205,MPPS GUNDAMRAJUPALEL(STC),Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
706,2820,KADAPA,282011,BADVEL,ANANTHARAJUPURAM,28201100206,MPPS VIDYANAGAR,Urban,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
707,2820,KADAPA,282011,BADVEL,ANANTHARAJUPURAM,28201100207,MPPS THIMMARAJU PALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
708,2820,KADAPA,282011,BADVEL,ANANTHARAJUPURAM,28201100208,MPUPS LAKSHMIPALEM,Rural,Primary with Upper Primary,MPP_ZPP SCHOOLS,Co-education,1,8,Telugu,None,None,None
709,2820,KADAPA,282011,BADVEL,KONASAMUDRAM,28201101701,MPPS BOMMALATA PALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
710,2820,KADAPA,282011,BADVEL,KONASAMUDRAM,28201101702,MPPS ELLUGARI PALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
711,2820,KADAPA,282011,BADVEL,KONASAMUDRAM,28201101703,RCMUPS AIDED KONASAMUDRAM,Rural,Primary with Upper Primary,Pvt.Aided,Co-education,1,8,Telugu,None,None,None
712,2820,KADAPA,282012,GOPAVARAM,KALVAPALLE,28201200101,MPPS KALAVAPALLI (H/W ),Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
