SI No,District code,District name,Mandal code,Mandal Name,Village Name,School Id,School Name,Area,School Category,School Managments,School Type,Lower Class,Higer Class,Medium1,Medium2,Medium3,Medium4
31,2820,KADAPA,282022,THONDUR,SANTHAKOVVUR,28202201406,ZPHS SANTHAKOVVUR (VILL),Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Co-education,6,10,Telugu,Hindi,English,None
32,2820,KADAPA,282018,SIMHADRIPURAM,SIMHADRIPURAM,28201801209,SRI LEELA HS S.PURAM,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,Telugu,Hindi,English,None
33,2820,KADAPA,282025,KAMALAPURAM,KAMALAPURAM(PT),28202500528,ZPHS KAMLAPURAM URDU,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Co-education,6,10,Urdu,Telugu,English,None
34,2820,KADAPA,282031,CUDDAPAH,PUTLAMPALLI,28203101115,SRI VASISTA VIDYA MANDIR HS,Urban,Upper Pr. and Secondary,Pvt.Unaided,Co-education,8,10,Telugu,Hindi,English,None
35,2820,KADAPA,282048,CHINNAMANDEM,CHINNAMANDEM,28204800727,KVSRSM PS,Rural,Primary,Pvt.Unaided,Co-education,1,5,Telugu,Hindi,English,None
36,2820,KADAPA,282021,VEMULA,VEMULA,28202101013,RAMANA SAI VIDHYANIKETHAN SCHOOL,Rural,Primary with Upper Primary,Pvt.Unaided,Co-education,1,7,Telugu,Hindi,English,None
37,2820,KADAPA,282039,RAJAMPET,PULAPATHURU,28203900103,MPPS BAGGIDAPALLI MALAWADA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,Hindi,English,None
38,2820,KADAPA,282039,RAJAMPET,MITTAMEEDAPALLE,28203902208,MPUPS MITTAMEEDAPALLE,Rural,Primary with Upper Primary,MPP_ZPP SCHOOLS,Co-education,1,7,Telugu,Hindi,English,None
39,2820,KADAPA,282027,CHENNUR,CHENNUR,28202700316,ZPHS BOYS CHENNUR,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Co-education,6,10,Telugu,Urdu,English,None
40,2820,KADAPA,282025,KAMALAPURAM,KAMALAPURAM(PT),28202500521,ZPHS (BOYS) KAMALAPURAM,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Boys,6,10,Telugu,English,None,None
41,2820,KADAPA,282010,PORUMAMILLA,RANGA SAMUDRAM,28201001316,GOVT ST RESIDENTIAL SCHOOL FOR BOYS,Rural,Pr. Up Pr. and Secondary Only,APTWREI Society Schools,Boys,1,10,English,None,None,None
42,2820,KADAPA,282037,RAMAPURAM,NALLAGUTTAPALLE,28203700609,APSWRS NG PALLE BOYS,Urban,Pr. with Up.Pr. sec. and H.Sec.,APSWREI Society Schools,Boys,5,12,English,None,None,None
43,2820,KADAPA,282048,CHINNAMANDEM,CHINNAMANDEM,28204800718,ZPHS CHINNAMANDEM (BOYS),Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Boys,6,10,Telugu,None,None,None
